Province;Kabupaten;Kecamatan;Kelurahan;latitude;longitude;Kodepos
DKI JAKARTA;KOTA JAKARTA BARAT;GROGOL PETAMBURAN;WIJAYA KESUMA;-6.1537689;106.7750696;11460
DKI JAKARTA;KOTA JAKARTA TIMUR;PULO GADUNG;JATINEGARA KAUM;-6.1970255;106.8974964;13220
DKI JAKARTA;KOTA JAKARTA TIMUR;CIPAYUNG;PONDOK RANGGON;-6.3551012;106.9093;13860
DKI JAKARTA;KOTA JAKARTA UTARA;TANJUNG PRIOK;TANJUNG PRIUK;-6.1095485;106.8812673;14310
DKI JAKARTA;KOTA JAKARTA UTARA;TANJUNG PRIOK;PAPANGO;-6.1265467000000005;106.8679899;14340
BANTEN;KOTA TANGERANG;KARAWACI;PABUARAN TUMPENG;-6.1817584000000005;106.61881509999998;15114
BANTEN;KOTA TANGERANG;KARAWACI;SUMUR PACING;-6.1760331;106.6180783;15114
BANTEN;KOTA TANGERANG;PERIUK;PERIUK JAYA;-6.1505294;106.5967126;15131
BANTEN;KOTA TANGERANG;JATI UWUNG;KRONCONG;-6.1866738;106.5849256;15134
BANTEN;KOTA TANGERANG;CIBODAS;CIBODASARI;-6.202675599999999;106.60407990000002;15138
BANTEN;KOTA TANGERANG;CIBODAS;CIBODAS BARU;-6.195007299999999;106.60407990000002;15138
BANTEN;KOTA TANGERANG;PINANG;NEROKTOG;-6.2090171;106.685136;15145
BANTEN;KOTA TANGERANG;PINANG;SUDIMARA PINANG;-6.2152637;106.6895581;15145
BANTEN;KOTA TANGERANG;LARANGAN;KEREO SELATAN;-6.2391051;106.7426303;15156
BANTEN;KOTA TANGERANG;KARANG TENGAH;PEDURENAN;-6.2226458;106.69840259999998;15159
BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;JURANG MANGGU TIMUR;-6.2650574;106.7308354;15222
BANTEN;KOTA TANGERANG SELATAN;PONDOK AREN;JURANG MANGGU BARAT;-6.2588081;106.7264125;15223
BANTEN;KABUPATEN TANGERANG;KEMIRI;LEGOK SUKAMAJU;-6.1294466;106.4553111;15530
BANTEN;KABUPATEN TANGERANG;BALARAJA;SENTUL JAYA;-6.2112572;106.4553111;15610
BANTEN;KABUPATEN TANGERANG;CIKUPA;TALAGA SARI;-6.2141566;106.50779740000002;15710
BANTEN;KABUPATEN TANGERANG;JAMBE;TIPARRAYA;-6.317852200000001;106.4847619;15720
BANTEN;KABUPATEN TANGERANG;KELAPA DUA;CURUG SANGERENG;-6.253852999999999;106.62249540000002;15810
JAWA BARAT;KABUPATEN BOGOR;CISEENG;CIHOWE;-6.430534099999999;106.683662;16120
JAWA BARAT;KABUPATEN BOGOR;PARUNG;WARUJAYA;-6.417764;106.7205154;16330
JAWA BARAT;KOTA DEPOK;BEJI;BEJI TIMUR;-6.3758806;106.8237374;16421
JAWA BARAT;KOTA DEPOK;PANCORAN MAS;DEPOK JAYA;-6.3990337;106.8207875;16431
JAWA BARAT;KOTA DEPOK;CIPAYUNG;CIPAYUNG JAYA;-6.4203262;106.79719;16437
JAWA BARAT;KOTA DEPOK;SAWANGAN;SAWANGAN BARU;-6.3960766;106.7559004;16511
JAWA BARAT;KOTA DEPOK;BOJONGSARI;BOJONGSARI LAMA;-6.400264900000001;106.7455792;16516
JAWA BARAT;KOTA DEPOK;SAWANGAN;PENGASINAN;-6.4268374;106.7559004;16518
JAWA BARAT;KABUPATEN BOGOR;CIOMAS;CIOMAS RAHAYU;-6.607416000000001;106.7691712;16610
JAWA BARAT;KABUPATEN BOGOR;CIBUNGBULANG;CIARUTEN ILIR;-6.5425668;106.6733441;16630
JAWA BARAT;KABUPATEN BOGOR;CIBUNGBULANG;CIARUTEN UDIK;-6.6042757;106.6733441;16630
JAWA BARAT;KABUPATEN BOGOR;MEGAMENDUNG;CIPAYUNG GIRANG;-6.651055;106.8827427;16770
